SourceTitle#ERulesId#Domain#EntryIntoForceDate#RegulatorySource#Paragraph#
ADR.OR.A.005 Scope#ERULES-1963177438-2084#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#ADR.OR.A.005 Scope#
ADR.OR.A.005 Scope#ERULES-1963177438-2084#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#Regulation (EU) No 139/2014#
ADR.OR.A.005 Scope#ERULES-1963177438-2084#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#This Annex establishes the requirements to be followed by:#
ADR.OR.A.005 Scope#ERULES-1963177438-2084#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#(a)an aerodrome operator subject to Regulation (EC) No 216/2008 with respect to its certification, management, manuals and other responsibilities; and#
ADR.OR.A.005 Scope#ERULES-1963177438-2084#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#(b)a provider of apron management services.#
ADR.OR.A.010 Competent Authority#ERULES-1963177438-2085#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#ADR.OR.A.010 Competent Authority#
ADR.OR.A.010 Competent Authority#ERULES-1963177438-2085#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#Regulation (EU) No 139/2014#
ADR.OR.A.010 Competent Authority#ERULES-1963177438-2085#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#For the purpose of this Part, the Competent Authority shall be the one designated by the Member State where the aerodrome is located.#
ADR.OR.A.015 Means of compliance#ERULES-1963177438-2086#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#ADR.OR.A.015 Means of compliance#
ADR.OR.A.015 Means of compliance#ERULES-1963177438-2086#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#Regulation (EU) No 139/2014#
ADR.OR.A.015 Means of compliance#ERULES-1963177438-2086#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#(a)Alternative means of compliance to those adopted by the Agency may be used by an aerodrome operator or an apron management service provider to establish compliance with Regulation (EC) No 216/2008 and its Implementing Rules.#
ADR.OR.A.015 Means of compliance#ERULES-1963177438-2086#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#(b)When an aerodrome operator or an apron management service provider wishes to use an alternative means of compliance to the Acceptable Means of Compliance (AMC) adopted by the Agency to establish compliance with Regulation (EC) No 216/2008 and its Implementing Rules, it shall, prior to implementing it, provide the Competent Authority with a full description of the alternative means of compliance. The description shall include any revisions to manuals or procedures that may be relevant, as well as an assessment demonstrating that the Implementing Rules are met.#
ADR.OR.A.015 Means of compliance#ERULES-1963177438-2086#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#The aerodrome operator or the provider of apron management services may implement these alternative means of compliance subject to prior approval by the Competent Authority and upon receipt of the notification, as prescribed in ADR.AR.A.015(d).#
ADR.OR.A.015 Means of compliance#ERULES-1963177438-2086#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#(c)Where apron management services are not provided by the aerodrome operator itself, the use of alternative means of compliance by providers of such services in accordance with (a) and (b), shall also require prior agreement by the operator of the aerodrome where such services are provided.#
AMC1 ADR.OR.A.015 Means of compliance#ERULES-1963177438-2623#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.A.015 Means of compliance#
AMC1 ADR.OR.A.015 Means of compliance#ERULES-1963177438-2623#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.A.015 Means of compliance#ERULES-1963177438-2623#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#DEMONSTRATION OF COMPLIANCE#
AMC1 ADR.OR.A.015 Means of compliance#ERULES-1963177438-2623#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#In order to demonstrate that the Implementing Rules are met, a safety (risk) assessment should be completed and documented. The result of this safety (risk) assessment should demonstrate that an equivalent level of safety to that established by the Acceptable Means of Compliance (AMC) adopted by the Agency is reached.#
ADR.OR.B.005 Certification obligations of aerodromes and aerodrome operators#ERULES-1963177438-2087#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#ADR.OR.B.005 Certification obligations of aerodromes and aerodrome operators#
ADR.OR.B.005 Certification obligations of aerodromes and aerodrome operators#ERULES-1963177438-2087#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#Regulation (EU) No 139/2014#
ADR.OR.B.005 Certification obligations of aerodromes and aerodrome operators#ERULES-1963177438-2087#Aerodromes;#6 March, 2014#Regulation (EU) No 139/2014#Prior to commencing the operation of an aerodrome or when an exemption in accordance with Article 5 has been revoked, the aerodrome operator shall obtain the applicable certificate(s) issued by the Competent Authority.#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#ADR.OR.B.015 Application for a certificate#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(a)The application for a certificate shall be made in a form and manner established by the Competent Authority.#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(b)The applicant shall provide the Competent Authority with the following:#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(1)its official name and business name, address, and mailing address;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(2)information and data regarding:#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(i)the location of the aerodrome;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(ii)the type of operations at the aerodrome and the associated airspace; and#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(iii)the design and facilities of the aerodrome, in accordance with the applicable certification specifications established by the Agency;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(3)any proposed deviations from the identified applicable certification specifications established by the Agency;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(4)documentation demonstrating how it will comply with the applicable requirements established in Regulation (EC) No 216/2008 and its Implementing Rules. Such documentation shall include a procedure, contained in the aerodrome manual, describing how changes not requiring prior approval will be managed and notified to the Competent Authority; subsequent changes to this procedure shall require prior approval by the Competent Authority;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(5)evidence of adequacy of resources to operate the aerodrome in accordance with the applicable requirements;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(6)documented evidence showing the relationship of the applicant with the aerodrome owner and/or the land owner;#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(7)the name of and relevant information about the accountable manager and the other nominated persons required by ADR.OR.D.015; and#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(8)a copy of the aerodrome manual required by ADR.OR.E.005.#
ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2088#Aerodromes;#6 March, 2014#Implementing Regulation (EU) 2020/469#(c)If acceptable to the Competent Authority, information under points (7) and (8) may be provided at a later stage determined by the Competent Authority, but prior to the issuance of the certificate.#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#GM1 ADR.OR.B.015 Application for a certificate#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
